ip,factory,phase,datacenter,room,row,col,side,is_pdu,name,has_data,protocol_status,status_code,enabled,message
,F12,P7,DC2,R1,J,61,R,1,F12P7DC2R1J61PR,0,0,0,0,
,F12,P7,DC2,R1,J,66,L,1,F12P7DC2R1J66PL,0,0,0,0,
,F12,P7,DC2,R1,J,66,R,1,F12P7DC2R1J66PR,0,0,0,0,
,F12,P7,DC2,R1,J,58,L,0,F12P7DC2R1J58PL,0,0,0,0,
,F12,P7,DC2,R1,J,69,L,0,F12P7DC2R1J69PL,0,0,0,0,
,F12,P7,DC2,R1,J,58,R,0,F12P7DC2R1J58PR,0,0,0,0,
,F12,P7,DC2,R1,J,69,R,0,F12P7DC2R1J69PR,0,0,0,0,
,F12,P7,DC2,R1,K,58,L,1,F12P7DC2R1K58PL,0,0,0,0,
,F12,P7,DC2,R1,K,58,R,1,F12P7DC2R1K58PR,0,0,0,0,
,F12,P7,DC2,R1,K,61,L,1,F12P7DC2R1K61PL,0,0,0,0,
,F12,P7,DC2,R1,K,61,R,1,F12P7DC2R1K61PR,0,0,0,0,
,F12,P7,DC2,R1,K,66,L,1,F12P7DC2R1K66PL,0,0,0,0,
,F12,P7,DC2,R1,K,66,R,1,F12P7DC2R1K66PR,0,0,0,0,
,F12,P7,DC2,R1,K,69,L,1,F12P7DC2R1K69PL,0,0,0,0,
,F12,P7,DC2,R1,K,69,R,1,F12P7DC2R1K69PR,0,0,0,0,
,F12,P7,DC2,R1,L,58,L,1,F12P7DC2R1L58PL,0,0,0,0,
,F12,P7,DC2,R1,L,58,R,1,F12P7DC2R1L58PR,0,0,0,0,
,F12,P7,DC2,R1,L,66,L,1,F12P7DC2R1L66PL,0,0,0,0,
,F12,P7,DC2,R1,L,66,R,1,F12P7DC2R1L66PR,0,0,0,0,
,F12,P7,DC2,R1,L,69,L,1,F12P7DC2R1L69PL,0,0,0,0,
,F12,P7,DC2,R1,L,69,R,1,F12P7DC2R1L69PR,0,0,0,0,
,F12,P7,DC2,R1,L,61,L,0,F12P7DC2R1L61PL,0,0,0,0,
,F12,P7,DC2,R1,L,61,R,0,F12P7DC2R1L61PR,0,0,0,0,
,F12,P7,DC2,R1,M,58,L,1,F12P7DC2R1M58PL,0,0,0,0,
,F12,P7,DC2,R1,M,58,R,1,F12P7DC2R1M58PR,0,0,0,0,
,F12,P7,DC2,R1,M,61,L,1,F12P7DC2R1M61PL,0,0,0,0,
,F12,P7,DC2,R1,M,61,R,1,F12P7DC2R1M61PR,0,0,0,0,
,F12,P7,DC2,R1,M,69,L,1,F12P7DC2R1M69PL,0,0,0,0,
,F12,P7,DC2,R1,M,69,R,1,F12P7DC2R1M69PR,0,0,0,0,
,F12,P7,DC2,R1,M,66,L,0,F12P7DC2R1M66PL,0,0,0,0,
,F12,P7,DC2,R1,M,66,R,0,F12P7DC2R1M66PR,0,0,0,0,
,F12,P7,DC2,R1,N,58,L,1,F12P7DC2R1N58PL,0,0,0,0,
,F12,P7,DC2,R1,N,58,R,1,F12P7DC2R1N58PR,0,0,0,0,
,F12,P7,DC2,R1,N,61,L,1,F12P7DC2R1N61PL,0,0,0,0,
,F12,P7,DC2,R1,N,61,R,1,F12P7DC2R1N61PR,0,0,0,0,
,F12,P7,DC2,R1,N,66,L,1,F12P7DC2R1N66PL,0,0,0,0,
,F12,P7,DC2,R1,N,66,R,1,F12P7DC2R1N66PR,0,0,0,0,
,F12,P7,DC2,R1,N,69,L,1,F12P7DC2R1N69PL,0,0,0,0,
