#group,false,false,false,false
#datatype,string,long,string,double
#default,_result,,,
,result,table,name,_value
,,0,F12P7DC1R1L102PL,247.69999999999618
,,0,F12P7DC1R2C86PL,243.9999999999961
,,0,F12P7DC1R3C70PL,240.8999999999944
,,0,F12P7DC1R2L86PL,235.49999999999764
,,0,F12P7DC1R1F102PR,235.39999999999532
,,0,F12P7DC1R3K75PR,235.29999999999617
,,0,F12P7DC1R3E75PR,231.99999999999525
,,0,F12P7DC1R1X102PL,229.89999999999836
,,0,F12P7DC1R1N99PR,228.29999999999367
,,0,F12P7DC1R3L75PR,227.79999999999677
,,0,F12P7DC1R1N99PL,223.8999999999942
,,0,F12P7DC1R3O67PR,219.60000000000036
,,0,F12P7DC1R3M78PL,218.999999999995
,,0,F12P7DC1R1L99PR,218.9999999999944
,,0,F12P7DC1R3Y75PL,215.29999999999794
,,0,F12P7DC1R1L99PL,213.49999999999469
,,0,F12P7DC1R3D75PL,213.19999999999507
,,0,F12P7DC1R3H75PR,206.79999999999785
,,0,F12P7DC1R1V99PL,206.39999999999714
,,0,F12P7DC1R3N75PL,205.29999999999612
,,0,F12P7DC1R2Z94PL,202.59999999999806
,,0,F12P7DC1R3H78PR,200.3999999999978
,,0,F12P7DC1R3R75PL,192.19999999999442
,,0,F12P7DC1R2E86PL,191.1999999999981
,,0,F12P7DC1R3R75PR,185.39999999999472
,,0,F12P7DC1R1V99PR,178.59999999999766
,,0,F12P7DC1R2I86PL,176.99999999999935
,,0,F12P7DC1R1Y107PR,174.79999999999873
,,0,F12P7DC1R1O102PL,173.29999999999924
,,0,F12P7DC1R1Y107PL,173.29999999999862
,,0,F12P7DC1R2I94PL,171.59999999999636
,,0,F12P7DC1R1Y99PR,165.5999999999984
,,0,F12P7DC1R3U67PL,164.69999999999558
,,0,F12P7DC1R1Y99PL,163.99999999999844
,,0,F12P7DC1R2O94PL,161.69999999999627
,,0,F12P7DC1R1L102PR,159.69999999999848
,,0,F12P7DC1R2O94PR,158.0999999999968
,,0,F12P7DC1R3V67PR,155.79999999999652
,,0,F12P7DC1R2W86PL,155.49999999999997
,,0,F12P7DC1R2R86PL,154.99999999999812
,,0,F12P7DC1R2Z83PR,154.09999999999704
,,0,F12P7DC1R2J91PL,153.39999999999662
,,0,F12P7DC1R3J78PL,152.29999999999944
,,0,F12P7DC1R2F94PR,152.19999999999942
,,0,F12P7DC1R1G99PR,150.899999999998
,,0,F12P7DC1R3R67PL,150.29999999999626
,,0,F12P7DC1R3M67PL,150.09999999999613
,,0,F12P7DC1R1R102PL,149.99999999999955
,,0,F12P7DC1R3I78PR,149.09999999999815
,,0,F12P7DC1R2D91PL,147.59999999999698
,,0,F12P7DC1R2V91PR,145.3999999999977
,,0,F12P7DC1R2Z83PL,145.19999999999786
,,0,F12P7DC1R3F78PL,145.09999999999945
,,0,F12P7DC1R1C102PL,145.09999999999656
,,0,F12P7DC1R2H86PL,144.8999999999971
,,0,F12P7DC1R3M67PR,144.49999999999616
,,0,F12P7DC1R2L91PR,142.6999999999967
,,0,F12P7DC1R3H75PL,141.39999999999748
,,0,F12P7DC1R1R99PL,141.39999999999714
,,0,F12P7DC1R3V67PL,140.09999999999707
,,0,F12P7DC1R1C102PR,139.8999999999968
,,0,F12P7DC1R2J91PR,139.79999999999688
,,0,F12P7DC1R2O86PL,139.19999999999715
,,0,F12P7DC1R3U78PL,137.49999999999946
,,0,F12P7DC1R2H86PR,134.09999999999735
,,0,F12P7DC1R3U75PR,133.69999999999848
,,0,F12P7DC1R1E102PR,133.19999999999726
,,0,F12P7DC1R3L67PR,132.99999999999753
,,0,F12P7DC1R2I94PR,132.19999999999817
,,0,F12P7DC1R2U94PL,131.79999999999694
,,0,F12P7DC1R2C91PL,131.59999999999772
,,0,F12P7DC1R2N91PL,130.79999999999717
,,0,F12P7DC1R3U67PR,129.79999999999765
,,0,F12P7DC1R2C94PR,129.2999999999986
,,0,F12P7DC1R1G99PL,129.09999999999906
,,0,F12P7DC1R1R99PR,128.29999999999862
,,0,F12P7DC1R2M86PL,126.19999999999787
,,0,F12P7DC1R2U83PR,125.5999999999987
,,0,F12P7DC1R2K91PR,125.49999999999747
,,0,F12P7DC1R3L67PL,124.59999999999735
,,0,F12P7DC1R1E102PL,123.59999999999762
,,0,F12P7DC1R2M94PR,123.19999999999752
,,0,F12P7DC1R2T86PL,123.1
,,0,F12P7DC1R3Z70PL,122.59999999999827
,,0,F12P7DC1R2O91PR,121.9999999999978
,,0,F12P7DC1R2C91PR,120.499999999998
,,0,F12P7DC1R3C67PR,118.89999999999974
