#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bank,name
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:40:00Z,8.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:50:00Z,7.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:00:00Z,7.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:10:00Z,7.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:40:00Z,8.2,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T21:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:00:00Z,7.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:10:00Z,5.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T22:20:00Z,6,current,pdu,L1-1,F12P7DC1R1E110PR
